GitHub,Up,11-08-2019 08:02:15,11-08-2019 17:14:20,All Systems Operational
Atlassian Bitbucket,Up,11-08-2019 08:00:24,11-08-2019 17:14:23,All Systems Operational
RubyGems.org,Up,11-08-2019 08:02:16,11-08-2019 17:14:27,All Systems Operational
Cloudflare,Down,11-08-2019 10:00:22,11-08-2019 17:14:30,Minor Service Outage
GitHub,Up,11-08-2019 08:02:15,11-08-2019 08:23:23,All Systems Operational
Atlassian Bitbucket,Up,11-08-2019 08:00:24,11-08-2019 08:23:25,All Systems Operational
RubyGems.org,Up,11-08-2019 08:02:16,11-08-2019 08:23:27,All Systems Operational
Cloudflare,Down,11-08-2019 12:53:09,11-08-2019 08:23:30,Minor Service Outage
GitHub,Up,11-08-2019 08:02:15,11-08-2019 08:23:56,All Systems Operational
Atlassian Bitbucket,Up,11-08-2019 08:00:24,11-08-2019 08:23:59,All Systems Operational
RubyGems.org,Up,11-08-2019 08:02:16,11-08-2019 08:24:04,All Systems Operational
Cloudflare,Down,11-08-2019 12:53:09,11-08-2019 08:24:07,Minor Service Outage
GitHub,Up,11-08-2019 08:02:15,11-08-2019 08:28:54,All Systems Operational
Atlassian Bitbucket,Up,11-08-2019 08:00:24,11-08-2019 08:28:55,All Systems Operational
RubyGems.org,Up,11-08-2019 08:02:16,11-08-2019 08:28:57,All Systems Operational
Cloudflare,Down,11-08-2019 12:53:09,11-08-2019 08:29:00,Minor Service Outage
GitHub,Up,11-08-2019 08:02:15,11-08-2019 08:33:54,All Systems Operational
Atlassian Bitbucket,Up,11-08-2019 08:00:24,11-08-2019 08:33:55,All Systems Operational
RubyGems.org,Up,11-08-2019 08:02:16,11-08-2019 08:33:58,All Systems Operational
Cloudflare,Down,11-08-2019 12:53:09,11-08-2019 08:34:00,Minor Service Outage
GitHub,Up,11-08-2019 08:02:15,11-08-2019 08:38:57,All Systems Operational
Atlassian Bitbucket,Up,11-08-2019 08:00:24,11-08-2019 08:39:02,All Systems Operational
RubyGems.org,Up,11-08-2019 08:02:16,11-08-2019 08:39:10,All Systems Operational
Cloudflare,Down,11-08-2019 12:53:09,11-08-2019 08:39:14,Minor Service Outage
